orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName,labels:LABEL
11,2025-03-26 10:11:34,2025-04-04 10:11:34,2025-03-28 10:11:34,244.22,Smith LLCInterior Design Studio,"06106 Catherine Loaf
New Michaelside, DC 74835",Jordanberg,Oklahoma,69600,United States,Smith LLCInterior Design Studio,White,Dustin,Ryder,Order
12,2024-12-18 11:09:01,2024-12-31 11:09:01,,487.11,"Peterson, Mccoy and RodriguezOnline Marketplace Seller","920 Austin Roads Suite 851
Belltown, SD 25437",West Whitneychester,Oregon,53861,United States,"Peterson, Mccoy and RodriguezOnline Marketplace Seller",King,Meagan,XPO Logistics,Order
13,2025-05-22 01:03:21,2025-06-05 01:03:21,2025-05-23 01:03:21,240.39,"Phillips, Larson and JonesOnline Marketplace Seller","5701 Ellis Square
South Carlaborough, NV 59637",Monicafort,Colorado,99798,United States,"Phillips, Larson and JonesOnline Marketplace Seller",Chavez,Kevin,FedEx,Order
14,2025-09-11 16:37:43,2025-09-14 16:37:43,2025-09-13 16:37:43,128.4,Cruz-BlairRetail Company,"PSC 5150, Box 6556
APO AA 19091",New Kenneth,Illinois,94617,United States,Cruz-BlairRetail Company,Reynolds,Michael,DHL Express,Order
15,2024-08-26 02:26:14,2024-09-09 02:26:14,2024-08-27 02:26:14,396.33,"Hoffman, Baker and BarnesSecurity Service Provider","169 White Plains
Clarkbury, MD 51668",West Jamesmouth,Delaware,27607,United States,"Hoffman, Baker and BarnesSecurity Service Provider",Reynolds,Michael,XPO Logistics,Order
16,2025-11-03 03:29:17,2025-11-09 03:29:17,2025-11-07 03:29:17,449.32,Tyler-AllenRetail Company,"45345 Paige Neck Suite 971
Smithborough, AS 37807",Port Samantha,Minnesota,92838,United States,Tyler-AllenRetail Company,Daniel,Yvette,USPS,Order
17,2024-07-23 21:26:29,2024-08-04 21:26:29,,481.91,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,6862,United States,Owens-JenkinsConsumer Electronics Store,White,Dustin,FedEx,Order
18,2025-11-16 12:31:01,2025-11-19 12:31:01,,130.89,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,6862,United States,Owens-JenkinsConsumer Electronics Store,Green,Kyle,LaserShip,Order
19,2025-03-08 04:53:05,2025-03-22 04:53:05,2025-03-09 04:53:05,429.93,Collins IncTechnology Startup,"39967 Joshua Key
Diazland, ME 74024",North Benjaminchester,North Carolina,88718,United States,Collins IncTechnology Startup,Black,Amanda,DHL Express,Order
20,2025-05-23 17:46:55,2025-05-26 17:46:55,,274.69,Lynch-WatsonSmall Business,"96936 Cummings Spur
Loristad, MS 01136",West Justinburgh,Texas,73128,United States,Lynch-WatsonSmall Business,Green,Kyle,USPS,Order
21,2026-02-16 16:56:44,2026-02-21 16:56:44,2026-02-17 16:56:44,367.48,Richardson-ThomasE-commerce Company,"081 Huff Row Apt. 442
Port Johnville, TX 73884",Thomasview,Indiana,35397,United States,Richardson-ThomasE-commerce Company,Daniel,Yvette,USPS,Order
22,2024-12-28 02:24:27,2024-12-31 02:24:27,2024-12-30 02:24:27,288.14,Garcia-MorganTechnology Startup,"921 Black Brook Apt. 600
Hernandezchester, PW 06130",Patrickville,Virginia,18781,United States,Garcia-MorganTechnology Startup,Reynolds,Michael,USPS,Order
23,2025-01-23 01:10:16,2025-01-31 01:10:16,2025-01-26 01:10:16,90.36,"Warner, Horton and RobertsIT Services Company","972 Thomas Pike Apt. 092
Dennisport, AR 65984",Anastad,South Carolina,40837,United States,"Warner, Horton and RobertsIT Services Company",Chavez,Kevin,DHL Express,Order
24,2026-05-29 10:41:38,2026-06-10 10:41:38,2026-05-30 10:41:38,410.46,Adams-RayRetail Company,"9429 Li Mountain Apt. 633
West Gregorychester, ND 27425",North Elizabeth,Washington,67757,United States,Adams-RayRetail Company,Lowery,Ryan,LaserShip,Order
25,2025-08-04 18:54:13,2025-08-12 18:54:13,2025-08-09 18:54:13,130.38,"Ramirez, Rodriguez and AyalaReal Estate Company","6509 Stewart Highway Apt. 210
Alexanderstad, DC 35973",Lake Stephanie,Massachusetts,76034,United States,"Ramirez, Rodriguez and AyalaReal Estate Company",Daniel,Yvette,Amazon Logistics,Order
26,2026-01-31 00:20:10,2026-02-04 00:20:10,,144.11,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,11552,United States,James GroupSmall Business,Daniel,Yvette,UPS,Order
27,2024-09-11 07:44:30,2024-09-14 07:44:30,2024-09-14 07:44:30,157.3,"Phillips, Larson and JonesOnline Marketplace Seller","5701 Ellis Square
South Carlaborough, NV 59637",Monicafort,Colorado,99798,United States,"Phillips, Larson and JonesOnline Marketplace Seller",Stephens,Nicholas,Amazon Logistics,Order
28,2025-05-27 21:41:14,2025-06-06 21:41:14,2025-05-28 21:41:14,476.48,Barry IncConsumer Electronics Store,"21084 Sara Center Suite 817
North Deannastad, TX 00650",Tylerhaven,Texas,88263,United States,Barry IncConsumer Electronics Store,Daniel,Nicholas,UPS,Order
29,2025-07-07 11:28:20,2025-07-12 11:28:20,2025-07-11 11:28:20,211.02,Ellis-WilkinsHome Automation Company,"3879 Dan Mountain
New Melissa, NH 66573",Bruceborough,Rhode Island,17724,United States,Ellis-WilkinsHome Automation Company,Stephens,Nicholas,XPO Logistics,Order
30,2025-12-19 07:34:44,2025-12-23 07:34:44,,387.9,Castillo PLCHome Improvement Store,"USNS Evans
FPO AP 76921",West Scott,Arizona,33036,United States,Castillo PLCHome Improvement Store,Payne,Mark,Amazon Logistics,Order
31,2025-11-01 05:56:27,2025-11-14 05:56:27,2025-11-04 05:56:27,457.95,Hendricks IncOnline Marketplace Seller,"255 Adams Skyway Suite 847
Mariaborough, PW 11530",Lake Ashley,Alaska,41234,United States,Hendricks IncOnline Marketplace Seller,Douglas,Heidi,USPS,Order
32,2025-06-06 12:45:10,2025-06-14 12:45:10,2025-06-10 12:45:10,216.02,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,6862,United States,Owens-JenkinsConsumer Electronics Store,Chavez,Kevin,Pitney Bowes,Order
33,2024-06-11 22:06:15,2024-06-22 22:06:15,,425.39,Castillo PLCHome Improvement Store,"USNS Evans
FPO AP 76921",West Scott,Arizona,33036,United States,Castillo PLCHome Improvement Store,Stephens,Nicholas,DHL Express,Order
34,2025-10-08 07:44:25,2025-10-15 07:44:25,,181.31,Hendricks IncOnline Marketplace Seller,"255 Adams Skyway Suite 847
Mariaborough, PW 11530",Lake Ashley,Alaska,41234,United States,Hendricks IncOnline Marketplace Seller,Black,Amanda,Ryder,Order
35,2025-08-28 02:55:19,2025-09-04 02:55:19,2025-09-02 02:55:19,173.67,"Carter, Weber and JenkinsFacility Management Company","4194 Rhonda Pike Apt. 854
Stephenborough, AS 77606",West Brianton,Illinois,73954,United States,"Carter, Weber and JenkinsFacility Management Company",Daniel,Nicholas,FedEx,Order
36,2025-10-01 07:19:38,2025-10-08 07:19:38,2025-10-05 07:19:38,235.45,Barry IncConsumer Electronics Store,"21084 Sara Center Suite 817
North Deannastad, TX 00650",Tylerhaven,Texas,88263,United States,Barry IncConsumer Electronics Store,Watson,Michael,LaserShip,Order
37,2024-12-07 13:03:43,2024-12-13 13:03:43,2024-12-09 13:03:43,375.8,Becker LtdConsumer Electronics Store,"93523 Andrew Lake
Port Carlahaven, NM 48551",South Nataliemouth,Connecticut,34897,United States,Becker LtdConsumer Electronics Store,Moreno,Jason,Pitney Bowes,Order
38,2024-09-21 04:24:26,2024-10-01 04:24:26,,134.0,Liu GroupIT Services Company,"PSC 6892, Box 2582
APO AA 44003",East Anafurt,New Mexico,14926,United States,Liu GroupIT Services Company,Stephens,Nicholas,FedEx,Order
39,2025-04-26 12:20:07,2025-05-04 12:20:07,2025-04-28 12:20:07,346.88,"Hammond, Watson and SparksIT Services Company","95937 Tony Estates Apt. 951
West Elizabethport, MH 46586",Bakermouth,Arkansas,55616,United States,"Hammond, Watson and SparksIT Services Company",Taylor,Robert,XPO Logistics,Order
40,2025-02-08 20:44:01,2025-02-18 20:44:01,2025-02-10 20:44:01,151.57,English IncSecurity Service Provider,"736 Jessica Route
Coleview, AL 61951",Murillostad,Montana,53999,United States,English IncSecurity Service Provider,Harrison,Tyler,USPS,Order
41,2025-10-26 01:19:27,2025-11-09 01:19:27,2025-10-30 01:19:27,104.71,Walker and SonsHome Automation Company,"7852 Arellano Fall
Travisland, DE 45151",East Russellburgh,Hawaii,82554,United States,Walker and SonsHome Automation Company,Reynolds,Michael,OnTrac,Order
42,2026-03-02 03:08:55,2026-03-13 03:08:55,2026-03-03 03:08:55,340.09,Nelson-BryantE-commerce Company,"6384 Johnson Crescent Suite 868
Pattersonburgh, FM 52740",Marissaside,Michigan,56147,United States,Nelson-BryantE-commerce Company,Moreno,Jason,FedEx,Order
43,2026-06-07 03:37:49,2026-06-20 03:37:49,2026-06-10 03:37:49,241.37,"Miller, Brock and SuttonProperty Management Company","USNV Zimmerman
FPO AP 25218",Port Shelby,New Hampshire,8963,United States,"Miller, Brock and SuttonProperty Management Company",Douglas,Heidi,Amazon Logistics,Order
44,2024-10-05 05:05:57,2024-10-08 05:05:57,2024-10-06 05:05:57,210.8,Garcia-RichardHome Improvement Store,"56569 Kenneth Plains Apt. 310
East Molly, MT 84069",North Jeremy,Rhode Island,65178,United States,Garcia-RichardHome Improvement Store,Watson,Michael,DHL Express,Order
45,2025-05-11 04:09:21,2025-05-23 04:09:21,2025-05-13 04:09:21,164.66,Bradshaw PLCSmart Home Installer,"273 Jones Creek
Thomasside, OH 61268",Coleside,Michigan,2926,United States,Bradshaw PLCSmart Home Installer,Taylor,Robert,Pitney Bowes,Order
46,2026-03-02 05:19:31,2026-03-12 05:19:31,2026-03-04 05:19:31,398.8,Thompson LtdSmall Business,"PSC 6209, Box 6988
APO AA 35083",Jasonfurt,Georgia,31507,United States,Thompson LtdSmall Business,Stephens,Nicholas,DHL Express,Order
47,2026-01-17 05:08:25,2026-01-20 05:08:25,2026-01-22 05:08:25,402.77,Wright IncIT Services Company,"3718 Keith Landing
Robertmouth, WA 66206",North Kevinside,South Carolina,11054,United States,Wright IncIT Services Company,Williams,Tiffany,LaserShip,Order
48,2026-05-31 02:01:47,2026-06-03 02:01:47,,10.71,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,11552,United States,James GroupSmall Business,Daniel,Nicholas,USPS,Order
49,2026-02-06 09:01:01,2026-02-14 09:01:01,,70.76,Williams and SonsOnline Marketplace Seller,"PSC 2120, Box 6226
APO AE 25846",Austinburgh,Arizona,76300,United States,Williams and SonsOnline Marketplace Seller,Harrison,Tyler,DHL Express,Order
50,2024-12-08 09:08:57,2024-12-15 09:08:57,2024-12-11 09:08:57,222.19,Archer and SonsTechnology Startup,"USNS Smith
FPO AA 80104",Port Jill,Wisconsin,33572,United States,Archer and SonsTechnology Startup,Daniel,Yvette,XPO Logistics,Order
51,2026-01-02 07:31:34,2026-01-15 07:31:34,2026-01-05 07:31:34,118.39,Cruz-BlairRetail Company,"PSC 5150, Box 6556
APO AA 19091",New Kenneth,Illinois,94617,United States,Cruz-BlairRetail Company,Douglas,Heidi,Amazon Logistics,Order
52,2026-04-21 01:09:49,2026-05-03 01:09:49,2026-04-23 01:09:49,97.55,Ellis-WilkinsHome Automation Company,"3879 Dan Mountain
New Melissa, NH 66573",Bruceborough,Rhode Island,17724,United States,Ellis-WilkinsHome Automation Company,Austin,Kimberly,USPS,Order
53,2024-08-12 21:48:12,2024-08-26 21:48:12,2024-08-15 21:48:12,145.57,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,6862,United States,Owens-JenkinsConsumer Electronics Store,Green,Kyle,Pitney Bowes,Order
54,2026-03-08 15:17:46,2026-03-11 15:17:46,,155.98,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,11552,United States,James GroupSmall Business,Owens,Zachary,Amazon Logistics,Order
55,2024-07-13 10:06:00,2024-07-21 10:06:00,2024-07-16 10:06:00,168.27,"Chambers, Smith and FloresReal Estate Company","20275 Jose Locks Suite 236
Jonesshire, NJ 29904",Debbieport,Minnesota,3203,United States,"Chambers, Smith and FloresReal Estate Company",Owens,Zachary,Ryder,Order
56,2024-07-06 00:08:42,2024-07-15 00:08:42,2024-07-08 00:08:42,326.43,Mccormick-LevyReal Estate Company,"04672 Nelson Vista
Collinsberg, OK 62686",South Sherry,West Virginia,29415,United States,Mccormick-LevyReal Estate Company,King,Meagan,UPS,Order
57,2026-02-14 14:27:10,2026-02-26 14:27:10,2026-02-15 14:27:10,237.53,Davis-WoodwardOnline Marketplace Seller,"60923 Luna Brooks
East Jane, AK 70485",South Eric,Connecticut,76697,United States,Davis-WoodwardOnline Marketplace Seller,Daniel,Yvette,DHL Express,Order
58,2024-10-04 23:48:26,2024-10-09 23:48:26,2024-10-09 23:48:26,402.26,Bird-WilsonAppliance Retailer,"785 Peters Lodge
Melissaport, KY 47900",Port Robert,Florida,75761,United States,Bird-WilsonAppliance Retailer,King,Meagan,Pitney Bowes,Order
59,2024-12-29 12:02:09,2025-01-01 12:02:09,2024-12-31 12:02:09,359.34,Brooks and SonsProperty Management Company,"24210 Abigail Fort Suite 714
East Kyleland, AR 59968",West Carolside,Illinois,5663,United States,Brooks and SonsProperty Management Company,Harrison,Tyler,XPO Logistics,Order
60,2025-06-07 19:03:35,2025-06-14 19:03:35,2025-06-12 19:03:35,473.46,Robinson GroupHome Improvement Store,"USS Henry
FPO AA 19576",Glassland,Indiana,62924,United States,Robinson GroupHome Improvement Store,Stephens,Nicholas,UPS,Order
61,2025-07-15 05:53:22,2025-07-18 05:53:22,2025-07-20 05:53:22,111.2,Massey-MooreRetail Company,"07564 Brenda River
East Matthewborough, SC 09211",Port Nicole,Illinois,53187,United States,Massey-MooreRetail Company,Douglas,Heidi,LaserShip,Order
62,2025-06-28 20:13:34,2025-07-02 20:13:34,2025-07-03 20:13:34,63.61,"English, Hardy and TrevinoAppliance Retailer","79636 Ruiz Ports Apt. 658
Thompsonchester, ND 71880",New Michele,North Dakota,56528,United States,"English, Hardy and TrevinoAppliance Retailer",Owens,Zachary,LaserShip,Order
63,2025-04-21 04:27:08,2025-05-02 04:27:08,2025-04-24 04:27:08,262.8,English IncSecurity Service Provider,"736 Jessica Route
Coleview, AL 61951",Murillostad,Montana,53999,United States,English IncSecurity Service Provider,White,Dustin,Pitney Bowes,Order
64,2024-10-05 04:27:04,2024-10-18 04:27:04,,152.41,Cervantes-SpenceFacility Management Company,"6934 Leach Burg Suite 665
Port Michaelmouth, MP 14959",Danielstad,North Carolina,20757,United States,Cervantes-SpenceFacility Management Company,Owens,Zachary,USPS,Order
65,2025-10-14 06:58:26,2025-10-21 06:58:26,2025-10-17 06:58:26,125.25,"Scott, Harris and JeffersonSmall Business","1000 Jones Inlet
Lake Frank, VI 80498",Loganhaven,Kansas,59284,United States,"Scott, Harris and JeffersonSmall Business",Green,Kyle,XPO Logistics,Order
66,2024-09-21 20:59:58,2024-10-04 20:59:58,,255.16,Bird-WilsonAppliance Retailer,"785 Peters Lodge
Melissaport, KY 47900",Port Robert,Florida,75761,United States,Bird-WilsonAppliance Retailer,Reynolds,Michael,DHL Express,Order
67,2026-05-09 18:02:44,2026-05-14 18:02:44,,488.12,Barry IncConsumer Electronics Store,"21084 Sara Center Suite 817
North Deannastad, TX 00650",Tylerhaven,Texas,88263,United States,Barry IncConsumer Electronics Store,Chavez,Kevin,OnTrac,Order
68,2024-10-17 00:54:17,2024-10-31 00:54:17,2024-10-19 00:54:17,447.14,Davis-WoodwardOnline Marketplace Seller,"60923 Luna Brooks
East Jane, AK 70485",South Eric,Connecticut,76697,United States,Davis-WoodwardOnline Marketplace Seller,King,Meagan,Ryder,Order
69,2026-01-26 19:36:19,2026-02-07 19:36:19,,279.28,Barnes LLCE-commerce Company,"8711 Oliver Street
New Raven, WY 24004",Port Denise,Oklahoma,44016,United States,Barnes LLCE-commerce Company,King,Meagan,DHL Express,Order
70,2026-05-20 07:26:58,2026-05-24 07:26:58,,79.93,Richardson-ThomasE-commerce Company,"081 Huff Row Apt. 442
Port Johnville, TX 73884",Thomasview,Indiana,35397,United States,Richardson-ThomasE-commerce Company,Taylor,Robert,XPO Logistics,Order
71,2026-05-13 19:02:29,2026-05-19 19:02:29,2026-05-17 19:02:29,202.56,Smith LtdRetail Company,"598 Perez Street Suite 718
Fischerbury, LA 43039",South Reginamouth,Tennessee,52408,United States,Smith LtdRetail Company,Payne,Mark,LaserShip,Order
72,2026-01-26 22:09:11,2026-01-30 22:09:11,2026-01-31 22:09:11,247.56,Smith GroupOnline Marketplace Seller,"09044 Stephanie Summit Suite 494
West Valerie, CA 77895",Lake Jenniferbury,New Mexico,57548,United States,Smith GroupOnline Marketplace Seller,Taylor,Robert,Pitney Bowes,Order
73,2024-12-07 05:16:33,2024-12-20 05:16:33,2024-12-10 05:16:33,75.82,Travis LLCAppliance Retailer,"635 Shannon Knolls
North Kevin, OH 27527",East Sherri,North Dakota,49051,United States,Travis LLCAppliance Retailer,Green,Kyle,LaserShip,Order
74,2026-05-24 23:38:09,2026-05-30 23:38:09,2026-05-28 23:38:09,235.06,"Willis, Williams and GrayHome Improvement Store","67178 Hamilton Parkways Apt. 655
Lake Jason, MI 19425",Chapmanmouth,Alabama,75036,United States,"Willis, Williams and GrayHome Improvement Store",Payne,Mark,FedEx,Order
75,2024-08-10 21:27:29,2024-08-15 21:27:29,2024-08-12 21:27:29,185.55,Bradshaw PLCSmart Home Installer,"273 Jones Creek
Thomasside, OH 61268",Coleside,Michigan,2926,United States,Bradshaw PLCSmart Home Installer,Payne,Mark,Pitney Bowes,Order
76,2025-11-15 00:32:44,2025-11-23 00:32:44,2025-11-19 00:32:44,120.62,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,11552,United States,James GroupSmall Business,Watson,Michael,XPO Logistics,Order
77,2025-05-26 03:31:40,2025-06-03 03:31:40,2025-05-27 03:31:40,406.5,Gray-HansenRetail Company,"295 Melissa Loaf
New Aprilshire, WV 00661",West Kevin,Oklahoma,87028,United States,Gray-HansenRetail Company,Owens,Zachary,USPS,Order
78,2024-09-07 18:28:25,2024-09-12 18:28:25,2024-09-08 18:28:25,186.69,Lynch-WatsonSmall Business,"96936 Cummings Spur
Loristad, MS 01136",West Justinburgh,Texas,73128,United States,Lynch-WatsonSmall Business,Austin,Kimberly,OnTrac,Order
79,2026-01-08 08:19:02,2026-01-16 08:19:02,2026-01-10 08:19:02,232.52,"Carter, Weber and JenkinsFacility Management Company","4194 Rhonda Pike Apt. 854
Stephenborough, AS 77606",West Brianton,Illinois,73954,United States,"Carter, Weber and JenkinsFacility Management Company",Owens,Zachary,USPS,Order
80,2025-09-19 03:02:42,2025-09-23 03:02:42,2025-09-21 03:02:42,384.74,Stewart-DavisRetail Company,"38878 Anthony Port
Amandabury, CT 51572",Jessehaven,Arizona,34183,United States,Stewart-DavisRetail Company,Taylor,Robert,Pitney Bowes,Order
81,2025-04-03 19:00:33,2025-04-16 19:00:33,2025-04-08 19:00:33,305.21,"Lee, Stevens and SweeneyIT Services Company","6445 Emily Parkway Suite 463
Hoganborough, ID 34148",New Robert,Illinois,34316,United States,"Lee, Stevens and SweeneyIT Services Company",Daniel,Nicholas,LaserShip,Order
82,2025-12-30 19:31:49,2026-01-09 19:31:49,2025-12-31 19:31:49,456.8,Gordon LLCE-commerce Company,"92158 Devin Knolls Apt. 712
Ramirezton, PR 76514",Port Caitlynton,Louisiana,97082,United States,Gordon LLCE-commerce Company,Stephens,Nicholas,LaserShip,Order
83,2026-04-19 19:57:40,2026-04-24 19:57:40,2026-04-20 19:57:40,168.45,Castillo PLCHome Improvement Store,"USNS Evans
FPO AP 76921",West Scott,Arizona,33036,United States,Castillo PLCHome Improvement Store,Moreno,Jason,XPO Logistics,Order
84,2026-04-06 10:14:26,2026-04-11 10:14:26,2026-04-07 10:14:26,33.31,English IncSecurity Service Provider,"736 Jessica Route
Coleview, AL 61951",Murillostad,Montana,53999,United States,English IncSecurity Service Provider,Williams,Tiffany,LaserShip,Order
85,2025-02-19 15:19:23,2025-02-26 15:19:23,2025-02-22 15:19:23,291.48,"Garner, Wright and ShawSmart Home Installer","06293 Wood Manor
Mcdonaldburgh, AK 25088",Kellyborough,Connecticut,94606,United States,"Garner, Wright and ShawSmart Home Installer",Daniel,Nicholas,Ryder,Order
86,2025-04-18 17:49:36,2025-05-02 17:49:36,2025-04-19 17:49:36,447.31,"Willis, Williams and GrayHome Improvement Store","67178 Hamilton Parkways Apt. 655
Lake Jason, MI 19425",Chapmanmouth,Alabama,75036,United States,"Willis, Williams and GrayHome Improvement Store",Moreno,Jason,Amazon Logistics,Order
87,2025-01-19 19:28:01,2025-01-23 19:28:01,2025-01-24 19:28:01,175.02,Fox-GreenProperty Management Company,"Unit 8497 Box 8966
DPO AA 72595",Robertmouth,New York,98200,United States,Fox-GreenProperty Management Company,Chavez,Kevin,XPO Logistics,Order
88,2026-01-29 09:32:53,2026-02-06 09:32:53,2026-01-30 09:32:53,76.24,"Lee, Stevens and SweeneyIT Services Company","6445 Emily Parkway Suite 463
Hoganborough, ID 34148",New Robert,Illinois,34316,United States,"Lee, Stevens and SweeneyIT Services Company",Green,Kyle,UPS,Order
89,2026-05-02 05:11:49,2026-05-06 05:11:49,2026-05-04 05:11:49,73.07,"Peterson, Mccoy and RodriguezOnline Marketplace Seller","920 Austin Roads Suite 851
Belltown, SD 25437",West Whitneychester,Oregon,53861,United States,"Peterson, Mccoy and RodriguezOnline Marketplace Seller",White,Dustin,DHL Express,Order
90,2026-02-21 08:11:03,2026-02-27 08:11:03,2026-02-26 08:11:03,65.52,Nelson-BryantE-commerce Company,"6384 Johnson Crescent Suite 868
Pattersonburgh, FM 52740",Marissaside,Michigan,56147,United States,Nelson-BryantE-commerce Company,Stephens,Nicholas,DHL Express,Order
91,2026-05-28 12:34:00,2026-06-06 12:34:00,2026-06-02 12:34:00,459.99,"Banks, Andrews and HickmanSmall Business","98508 Archer Creek
Ericfort, MI 17095",Scottport,South Dakota,27226,United States,"Banks, Andrews and HickmanSmall Business",White,Dustin,DHL Express,Order
92,2024-06-21 02:20:04,2024-06-29 02:20:04,2024-06-22 02:20:04,395.66,Smith GroupOnline Marketplace Seller,"09044 Stephanie Summit Suite 494
West Valerie, CA 77895",Lake Jenniferbury,New Mexico,57548,United States,Smith GroupOnline Marketplace Seller,Chavez,Kevin,OnTrac,Order
93,2024-07-04 18:35:54,2024-07-11 18:35:54,2024-07-07 18:35:54,179.43,Archer and SonsTechnology Startup,"USNS Smith
FPO AA 80104",Port Jill,Wisconsin,33572,United States,Archer and SonsTechnology Startup,Chavez,Kevin,LaserShip,Order
94,2024-08-24 23:02:23,2024-09-07 23:02:23,2024-08-28 23:02:23,254.29,Mccormick-LevyReal Estate Company,"04672 Nelson Vista
Collinsberg, OK 62686",South Sherry,West Virginia,29415,United States,Mccormick-LevyReal Estate Company,Black,Amanda,XPO Logistics,Order
95,2024-08-03 07:35:02,2024-08-16 07:35:02,,210.36,Bradshaw PLCSmart Home Installer,"273 Jones Creek
Thomasside, OH 61268",Coleside,Michigan,2926,United States,Bradshaw PLCSmart Home Installer,Douglas,Heidi,Amazon Logistics,Order
96,2024-06-16 15:02:41,2024-06-21 15:02:41,,43.32,Stewart-DavisRetail Company,"38878 Anthony Port
Amandabury, CT 51572",Jessehaven,Arizona,34183,United States,Stewart-DavisRetail Company,Owens,Zachary,Amazon Logistics,Order
97,2025-08-22 18:03:40,2025-08-31 18:03:40,2025-08-26 18:03:40,73.4,Robinson GroupHome Improvement Store,"USS Henry
FPO AA 19576",Glassland,Indiana,62924,United States,Robinson GroupHome Improvement Store,Lowery,Ryan,OnTrac,Order
98,2026-02-26 15:43:04,2026-03-08 15:43:04,2026-02-28 15:43:04,403.87,Wright IncIT Services Company,"3718 Keith Landing
Robertmouth, WA 66206",North Kevinside,South Carolina,11054,United States,Wright IncIT Services Company,Douglas,Heidi,DHL Express,Order
99,2026-02-03 10:49:14,2026-02-07 10:49:14,,481.36,Stewart-DavisRetail Company,"38878 Anthony Port
Amandabury, CT 51572",Jessehaven,Arizona,34183,United States,Stewart-DavisRetail Company,Williams,Tiffany,USPS,Order
